Altium Designer Pick and Place Locations
C:\Users\joshh\Nextcloud\Documents\altium\projects\DIYson\Project Outputs for DIYson\Pick Place\Pick Place for DIYson.csv

========================================================================================================================
File Design Information:

Date:       04/01/25
Time:       16:10
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"U6","0.0000mm","18.0000mm","TopLayer","0"
"U8","23.4500mm","0.0000mm","BottomLayer","90"
"U3","12.5000mm","-12.4000mm","BottomLayer","90"
"U2","1.4500mm","-12.0000mm","BottomLayer","90"
"SW8","22.3471mm","5.2351mm","BottomLayer","102"
"SW9","22.6471mm","-5.1351mm","BottomLayer","78"
"U7","19.6000mm","9.9000mm","BottomLayer","270"
"U4","-5.1000mm","-19.7000mm","BottomLayer","180"
"MP2","17.5000mm","0.0000mm","BottomLayer","180"
"MP1","-17.5000mm","0.0000mm","BottomLayer","180"
"R4","9.1000mm","-10.4000mm","BottomLayer","90"
"R3","11.1000mm","-17.0000mm","BottomLayer","180"
"R2","-2.2000mm","-8.5000mm","BottomLayer","270"
"R1","0.8000mm","-17.4000mm","BottomLayer","270"
"R22","2.2000mm","10.0000mm","BottomLayer","230"
"R21","1.4000mm","10.7000mm","BottomLayer","230"
"R20","0.6000mm","11.3000mm","BottomLayer","230"
"R19","-0.2000mm","11.9000mm","BottomLayer","230"
"R18","-1.0000mm","12.6000mm","BottomLayer","230"
"R17","-13.4000mm","-4.9000mm","BottomLayer","180"
"R15","-6.6000mm","-22.3000mm","BottomLayer","270"
"R14","5.6000mm","16.6000mm","BottomLayer","180"
"R13","-2.1000mm","16.4000mm","BottomLayer","0"
"R12","3.4000mm","13.7000mm","BottomLayer","315"
"R11","4.0000mm","14.4000mm","BottomLayer","315"
"R10","-1.5000mm","14.8000mm","BottomLayer","270"
"R9","-20.7000mm","4.0000mm","BottomLayer","270"
"R8","-3.5000mm","-2.8000mm","BottomLayer","180"
"R7","-3.5000mm","-3.9000mm","BottomLayer","180"
"R6","-2.4000mm","-17.1000mm","BottomLayer","180"
"R5","-2.9000mm","-15.6000mm","BottomLayer","270"
"NTC1","-10.6000mm","-5.4000mm","BottomLayer","180"
"L3","-7.1000mm","-13.5000mm","BottomLayer","270"
"L2","10.4000mm","-3.6000mm","BottomLayer","90"
"L1","2.5000mm","-4.0000mm","BottomLayer","0"
"U1","-8.3360mm","7.1394mm","BottomLayer","230"
"D8","3.6000mm","-21.6000mm","BottomLayer","180"
"D3","-14.5000mm","-7.4000mm","BottomLayer","0"
"D7","0.4000mm","15.9000mm","BottomLayer","0"
"D6","3.0000mm","15.9000mm","BottomLayer","180"
"D5","6.2000mm","20.2000mm","BottomLayer","180"
"D2","17.0000mm","-7.1755mm","BottomLayer","90"
"D1","5.5000mm","-9.6755mm","BottomLayer","90"
"U5","-14.9750mm","-12.6000mm","BottomLayer","180"
"J4","13.9000mm","7.9000mm","BottomLayer","0"
"J2","7.6000mm","7.1000mm","BottomLayer","0"
"J1","0.0000mm","-28.0000mm","BottomLayer","180"
"CONN1","0.0000mm","20.2025mm","BottomLayer","0"
"C7","-13.4000mm","-17.2000mm","BottomLayer","180"
"C5","-1.4000mm","-20.5000mm","BottomLayer","270"
"C3","16.8000mm","-12.8000mm","BottomLayer","270"
"C1","5.5000mm","-15.4000mm","BottomLayer","270"
"C8","-8.0000mm","-8.4000mm","BottomLayer","0"
"C9","-19.7000mm","-8.3000mm","BottomLayer","270"
"C11","-4.6000mm","15.3000mm","BottomLayer","140"
"C4","13.8000mm","-17.0000mm","BottomLayer","0"
"C2","3.1000mm","-17.4000mm","BottomLayer","90"
"C17","18.7000mm","13.1000mm","BottomLayer","270"
"C16","18.7000mm","6.7000mm","BottomLayer","90"
"C15","-7.1000mm","18.8000mm","BottomLayer","270"
"C14","-2.5000mm","14.7000mm","BottomLayer","270"
"C13","-0.3000mm","3.4000mm","BottomLayer","50"
"C12","-19.5000mm","4.0000mm","BottomLayer","90"
"C10","-6.6000mm","16.8000mm","BottomLayer","320"
"C6","-5.7000mm","-17.6000mm","BottomLayer","0"
