Part Name,Quantity,Category,Part Number,Link,European supplier,Note,Unit Cost (USD),Total Cost (USD)
C-Clamp,1,Structure/Motion,,https://amzn.to/3c4k5Et,,Any small c-clamp will work,$15.10,$15.10
GT2-2M Timing Belt (By the Foot),2,Structure/Motion,,https://openbuildspartstore.com/gt2-2m-timing-belt-by-the-foot/?ref=_2E7m4SXRIy8t,https://vslot-poland.com/timing-belt-GT2,,$2.49,$4.98
Horizontal Rail (500mm),1,Structure/Motion,,https://openbuildspartstore.com/v-slot-20x20-linear-rail/?ref=_2E7m4SXRIy8t,https://vslot-poland.com/en_US/p/Aluminium-profile-2020-V-SLOT-Black-Anodized-250mm/38,,$3.29,$3.29
Vertical Rail (500mm),1,Structure/Motion,,https://openbuildspartstore.com/v-slot-20x20-linear-rail/?ref=_2E7m4SXRIy8t,https://vslot-poland.com/en_US/p/Aluminium-profile-2020-V-SLOT-Black-Anodized-250mm/38,,$3.99,$3.99
Xtreme Solid V Wheel Kit,6,Structure/Motion,,https://openbuildspartstore.com/xtreme-solid-v-wheel-kit/?ref=_2E7m4SXRIy8t,https://vslot-poland.com/xtreme-solid-v-wheel-kit,Black Delrin or V-wheel kits can be substituted,$6.99,$41.94
LED,1,Lighting,BXRV-TR-2750G-20A0-A-23,https://www.digikey.com/en/products/detail/bridgelux/BXRV-TR-2750G-20A0-A-23/10279858,,,$5.60,$5.60
LED Holder,1,Lighting,492 TYP L8,https://led.cdiweb.com/products/detail/492typl8-bender-wirth/636069/,,,,
LED Socket,1,Lighting,C16142_HEKLA-SOCKET-K,https://www.mouser.com/ProductDetail/928-HEKLA16142,,,$1.37,$1.37
Lens,1,Lighting,CP16109_CARMEN-50-W-C,https://www.mouser.com/ProductDetail/928-CP16109,https://eu.mouser.com/ProductDetail/928-CP16109,"Don't drop this, the tabs will break!",$4.98,$4.98
48V AC/DC Power Supply,1,Lighting,SDI24-48-UD-P5,https://www.mouser.com/ProductDetail/490-SDI24-48-UD-P5,,,$18.94,$18.94
AC Power Cord (US),1,Lighting,Schurter 6010.5274,https://www.mouser.com/ProductDetail/693-6010.5274,,,,
M3 10mm Standoffs,2,,,https://a.co/d/4ye4oMW,,,,
Heatpipe,1,Cooling,ATS-HP-F6L200S23W-294,https://www.mouser.com/ProductDetail/984-HPF5L300S13W236,,,$14.02,$14.02
6mm Idler Pulley (Pack of 10),1,Hardware,,https://amzn.to/3AthhKy,https://nl.aliexpress.com/item/1005004778728908.html?spm=a2g0o.cart.0.0.577061d7frrPq9&mp=1&gatewayAdapt=glo2nld,,$11.99,$11.99
