Designator,Supplier Part Number,Supplier,Quantity,Comment,Manufacturer,Manufacturer Part Number,Footprint,Description,Case/Package

"C7","C185774","LCSC","1","10uF","TORCH","CA45-A-16V-10µF-K","CAPMP3216X180N","10uF 16V 2O@100kHz ±10% CASE-A-3216 Tantalum Capacitors ROHS",""
"C15","C15195","LCSC","1","10nF","Samsung Electro-Mechanics","CL05B103KB5NNNC","CAP_0402_SK","50V 10nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","0402"
"C18","C28233","LCSC","1","100nF","Samsung Electro-Mechanics","CL21B104KCFNNNE","CAP_0805_SK","100V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","0805"
"C23","C19702","LCSC","1","10uF","Samsung Electro-Mechanics","CL10A106KP8NNNC","CAP_0603_SK","10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","0603"
"CONN1","C5187472","LCSC","1","TYPE-C 16P QTWT","SHOU HAN","TYPE-C 16P QTWT","CONN_USBC_C5187472","3A 1 Surface Mount 16P Female -25?~+85? Type-C SMD USB Connectors ROHS
USB-C",""
"CONN2","","","1","781710002","Molex","78171-0002","MOLEX_0781710002","Pico-EZmate Wire-to-Board Header Vertical Housing Height 1.55mm with Side Friction Locks 2 Circuits",""
"CONN3","C5852764","LCSC","1","009276004021106","KYOCERA AVX","009276004021106","CONN_009276004021006_AVX","Rectangular Power Connector, 4 Contact(s), Female, Surface Mount Terminal",""
"CONN4","C724177","LCSC","1","Pico-EZmate","Molex","78171-0005","CONN_781710000-SD_05_MOL","Pico-EZmate Wire-to-Board Header Vertical Housing Height 1.55mm with Side Friction Locks 5 Circuits",""
"D8","C134996","LCSC","1","54V","Diodes","SMAJ54A-13-F","DIOD-SMA-2_V","SMAJ Series 54 V 400 W Surface Mount Uni-Directional TVS Diode - DO-214AC","SMA"
"L3","C92942","LCSC","1","33uH","Taiyo Yuden","NR6045T330M","NR6045","FIXED IND 33UH 1.4A 188.5 MOHM","Nonstandard"
"R5","C144804","LCSC","1","118k","Yageo","AC0402FR-07118KL","RES_0402","Res Thick Film 0402 118K Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD Automotive T/R","0402"
"R6","C163478","LCSC","1","22.1k","Yageo","RC0402FR-0722K1L","RES_0402","SMD Chip Resistor, 22.1 kOhm, ï¿½ 1%, 62.5 mW, 0402 [1005 Metric], Thick Film, General Purpose","0402"
"R15","C26083","LCSC","1","1M","Uni-Royal","0402WGF1004TCE","RES_0402","Res Thick Film 0402 1M Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD T/R",""
"R24","C25764","LCSC","1","200k","Royal Ohm","0402WGF2003TCE","RES_0402","Royal Ohm 0402WGF2003TCE 200K 1% 1/16W 0402 Thick Film Chip Resistor",""
"R25","C17888","LCSC","1","0","Royal Ohm","1206W4F0000T5E","RES_1206","Thick Film Resistors - SMD RMC 1206 1/4W 1% T/R-5000",""
"R31","C25897","LCSC","1","49.9k","Royal Ohm","0402WGF4992TCE","RES_0402","Thick Film Resistors - SMD RMC 0402 1/16W 1% T/R-10000",""
"R32","C11457","LCSC","1","3.24k","Royal Ohm","0402WGF3241TCE","RES_0402","Thick Film Resistors - SMD RMC 0402 1/16W 1% T/R-10000",""
"R34","C23254","LCSC","1","82k","Royal Ohm","0603WAF8202T5E","RES_0603","-55?~+155? 100mW 75V 82kO Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS",""
"R37","C11702","LCSC","1","1k","Royal Ohm","0402WGF1001TCE","RES_0402","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 1kO 0402 Chip Resistor - Surface Mount ROHS",""
"U1","C3013941","LCSC","1","ESP32-S3-MINI-1-N4R2","Espressif Systems","ESP32-S3-MINI-1-N4R2","ESP32-S3-MINI-1-N4R2_noVias","On-board PCB antenna SMD WiFi Modules ROHS",""
"U4","C21260865","LCSC","1","LMR51606XDBVR","Texas Instruments","LMR51606XDBVR","SOT-23-6","SIMPLE SWITCHER® power converter with 4.5V-to-65V 0.6A synchronous buck and 25µA quiescent current 6-SOT-23 -40 to 150","SOT-23"
"U5","C6186","LCSC","1","AMS1117-3.3_AMS","Advanced Monolithic Systems","AMS1117-3.3","DCY0004A_L","-40?~+125? 0.003%Vout 1 1.1V@(800mA) 16V 1A 3.3V 5mA 72dB@(120Hz) Fixed Over Current Protection?Over Temperature Protection Positive SOT-223 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",""
"U6","","","1","ALS-PT19-315C/L177/TR8","Everlight","ALS-PT19-315C/L177/TR8","XDCR_ALS-PT19-315C/L177/TR8","Light to Current Ambient Light Sensor Digital 3.3V/5V 2-Pin SMD T/R","SMD/SMT"
